Provinsi;Year;Reading Frequency per week;Number of Readings per Quarter;Daily Reading Duration (in minutes);Internet Access Frequency per Week;Daily Internet Duration (in minutes);Tingkat Kegemaran Membaca (Reading Interest);Category
Riau Islands;2021;4,5;4,5;97,5;5,5;113,7;61,83;High
Riau Islands;2022;4,5;5;94;5,5;129,8;62,02;High
Riau Islands;2023;5;5;112;5;104;65,80;Moderate
South East Sulawesi;2020;4,5;2,5;82;N/A;N/A;55,99;Moderate
South East Sulawesi;2021;4,5;3,5;85,2;5,5;122,5;57,63;Moderate
South East Sulawesi;2022;5;5,5;96,6;5,5;121,2;65,23;High
South East Sulawesi;2023;5,5;5,5;101;6;116;68,02;Moderate
South Kalimantan;2020;4;2,5;94;N/A;N/A;55,85;Moderate
South Kalimantan;2021;5;4,5;92,6;5,5;104,3;60,85;Moderate
South Kalimantan;2022;4,5;5,5;105,9;5;105,2;64,95;High
South Kalimantan;2023;5;5,5;103;5,5;110;67,14;Moderate
South Sulawesi;2020;4,5;2;106;N/A;N/A;58,90;Moderate
South Sulawesi;2021;5;4,5;106,7;5,5;113,5;63,10;High
South Sulawesi;2022;5;5,5;98,3;7;117,9;67,62;High
South Sulawesi;2023;5;5,5;125;5;116;68,20;Moderate
South Sumatra;2020;4;2;87;N/A;N/A;52,38;Moderate
South Sumatra;2021;4,5;4;84,2;4,5;100,2;55,51;Moderate
South Sumatra;2022;4,5;5;92;5;109,5;61,52;High
South Sumatra;2023;5;5;105;5,5;103;64,15;Moderate
West Java;2020;5;2,5;112;N/A;N/A;62,84;High
West Java;2021;5,5;4,5;108,7;5,5;117,2;65,34;High
West Java;2022;5,5;5,5;115,4;7;119,4;70,10;High
West Java;2023;5,5;5,5;119;5,5;135;70,47;Moderate
West Kalimantan;2020;4;2;95;N/A;N/A;55,24;Moderate
West Kalimantan;2021;4,5;3,5;96,8;4,5;105,1;57,46;Moderate
West Kalimantan;2022;5;5,5;91,8;5,5;107,3;64,10;High
West Kalimantan;2023;5;5,5;107;5;112;65,19;Moderate
West Nusa Tenggara;2020;4;2,5;83;N/A;N/A;53,49;Moderate
West Nusa Tenggara;2021;4,5;3,5;81,1;5,5;107,7;56,41;Moderate
West Nusa Tenggara;2022;4,5;5;88,8;5,5;127,4;60,97;High
West Nusa Tenggara;2023;5;5,5;100;5,5;105;65,58;Moderate
West Papua;2020;3,5;2;82;N/A;N/A;50,54;Moderate
West Papua;2021;4;3,5;84,8;3,5;79,3;51,44;Moderate
West Papua;2022;4;4,5;86,8;5;106,8;54,81;Moderate
West Papua;2023;4,5;4,5;110;5;124;62,80;Moderate
West Sulawesi;2020;3,5;2;100;N/A;N/A;52,29;Moderate
West Sulawesi;2021;3,5;3;81,8;4,5;101,1;50,11;Moderate
West Sulawesi;2022;4,5;5;86,4;5,5;112,8;59,14;Moderate
West Sulawesi;2023;5;4,5;117;4,5;94;64,86;Moderate
West Sumatra;2020;4;2;97;N/A;N/A;56,09;Moderate
West Sumatra;2021;5;4,5;88;5,5;104,1;61,15;High
West Sumatra;2022;5;5,5;104;5,5;117,8;66,87;High
West Sumatra;2023;5,5;5,5;104;6;128;68,46;Moderate
Yogyakarta;2020;5;2,5;123;N/A;N/A;65,73;High
Yogyakarta;2021;6;5,5;106,6;7;116,1;70,55;High
Yogyakarta;2022;5,5;7;111,1;7;125,9;72,29;High
Yogyakarta;2023;5,5;5,5;129;6;138;73,27;Moderate
